ID1,gene1,ID2,gene2,value,gene_compare
1,ABCA5,71,CD14,0.04318,ABCA5--CD14;
1,ABCA5,281,NFKBIB,0.06013,ABCA5--NFKBIB;
1,ABCA5,300,PDK4,-0.00134,ABCA5--PDK4;
1,ABCA5,306,PIK3R2,0.06989,ABCA5--PIK3R2;
1,ABCA5,317,PLN,-0.00204,ABCA5--PLN;
10,ADIPOQ,155,FABP4,-0.01329,ADIPOQ--FABP4;
29,ALOX15,148,ERG,-0.12306,ALOX15--ERG;
30,ALOX15B,35,ANPEP,-0.23337,ALOX15B--ANPEP;
30,ALOX15B,94,CNTNAP2,-0.05973,ALOX15B--CNTNAP2;
30,ALOX15B,148,ERG,0.04626,ALOX15B--ERG;
30,ALOX15B,175,GDF15,-0.01317,ALOX15B--GDF15;
30,ALOX15B,276,NAT1,-0.02628,ALOX15B--NAT1;
35,ANPEP,94,CNTNAP2,-0.00034,ANPEP--CNTNAP2;
35,ANPEP,148,ERG,0.01015,ANPEP--ERG;
94,CNTNAP2,148,ERG,0.01566,CNTNAP2--ERG;
143,ERBB3,200,HPN,-0.0102,ERBB3--HPN;
148,ERG,153,F5,-0.0535,ERG--F5;
148,ERG,176,GHR,-0.0901,ERG--GHR;
148,ERG,199,HPGD,0.10915,ERG--HPGD;
148,ERG,276,NAT1,0.04235,ERG--NAT1;
148,ERG,310,PLA2G7,-0.19326,ERG--PLA2G7;
153,F5,310,PLA2G7,-0.03778,F5--PLA2G7;
155,FABP4,185,GREM1,-0.02394,FABP4--GREM1;
156,FASN,175,GDF15,-0.02632,FASN--GDF15;
156,FASN,200,HPN,-0.11603,FASN--HPN;
156,FASN,317,PLN,0.03913,FASN--PLN;
161,FGFR2,402,TRIM29,-0.07395,FGFR2--TRIM29;
165,FOLH1,175,GDF15,-0.01123,FOLH1--GDF15;
165,FOLH1,200,HPN,-0.048,FOLH1--HPN;
165,FOLH1,317,PLN,0.03875,FOLH1--PLN;
175,GDF15,200,HPN,-0.08303,GDF15--HPN;
175,GDF15,317,PLN,0.00077,GDF15--PLN;
200,HPN,317,PLN,0.01258,HPN--PLN;
204,IER3,313,PLAUR,-0.0368,IER3--PLAUR;
213,IL6,214,IL8,-0.16288,IL6--IL8;
213,IL6,313,PLAUR,-0.10759,IL6--PLAUR;
214,IL8,313,PLAUR,-0.01871,IL8--PLAUR;
236,KRT15,237,KRT5,-0.10244,KRT15--KRT5;
236,KRT15,402,TRIM29,-0.07639,KRT15--TRIM29;
237,KRT5,353,SERPINB,-0.00225,KRT5--SERPINB;
237,KRT5,402,TRIM29,-0.15902,KRT5--TRIM29;
264,MMP7,343,RARRES1,-0.08976,MMP7--RARRES1;
281,NFKBIB,306,PIK3R2,-0.0426,NFKBIB--PIK3R2;
300,PDK4,306,PIK3R2,0.03059,PDK4--PIK3R2;
306,PIK3R2,317,PLN,0.07069,PIK3R2--PLN;
353,SERPINB,402,TRIM29,-0.18455,SERPINB--TRIM29;
